		L v S log2 FC				
PA3047	233.5417819	-0.833517149	0.539006165	-1.546396316	0.122008883	0.994061663
PA1179	14.20938936	-0.83302046	0.65714376	-1.267638089	0.204927223	0.994061663
PA0401	403.8762801	-0.832292115	0.556134186	-1.496567079	0.134505942	0.994061663
PA1510	84.00911704	-0.830805235	0.541020604	-1.535625869	0.124630166	0.994061663
PA3390	131.4479875	-0.829582429	0.533699923	-1.554398629	0.12008936	0.994061663
PA0609	222.8513322	-0.828915478	0.53771062	-1.541564268	0.123179514	0.994061663
PA4047	19.95550606	-0.828794425	0.641622842	-1.291715896	0.19645555	0.994061663
PA5324	1698.935171	-0.828687814	0.642492803	-1.289800929	0.197119785	0.994061663
PA1291	237.6397876	-0.827900323	0.538697852	-1.536854695	0.124328896	0.994061663
PA4830	44.58808386	-0.826931832	0.580415426	-1.424724076	0.154236977	0.994061663
PA4014	30.42323804	-0.824630152	0.611063054	-1.349500918	0.177176126	0.994061663
PA5218	30.42323804	-0.824630152	0.611063054	-1.349500918	0.177176126	0.994061663
PA4754	960.8932518	-0.823225376	0.617084593	-1.334055955	0.182185519	0.994061663
PA3266	15.23389079	-0.822857758	0.654834388	-1.256589106	0.208902462	0.994061663
PA1556	50.33420056	-0.822541751	0.570606638	-1.441521525	0.149437401	0.994061663
PA0874	99.19846429	-0.82230096	0.535509793	-1.535547941	0.124649291	0.994061663
PA3988	20.98000749	-0.819908225	0.638135854	-1.284849016	0.19884505	0.994061663
PA1423	189.3545899	-0.819144639	0.534586671	-1.532295292	0.125449582	0.994061663
PA1842	307.2613411	-0.818725127	0.544024255	-1.504942325	0.132338906	0.994061663
PA4604	51.35870199	-0.81803255	0.568714926	-1.438387691	0.150324083	0.994061663
PA5001	51.35870199	-0.81803255	0.568714926	-1.438387691	0.150324083	0.994061663
PA4315	130.2007684	-0.815046882	0.532129741	-1.531669476	0.125604018	0.994061663
PA4386	9.487774088	-0.814747817	0.654864268	-1.244147615	0.213445239	0.994061663
PA0402	57.10481869	-0.814500907	0.560684852	-1.452689338	0.146310029	0.994061663
PA5313	1964.01378	-0.814012005	0.646667188	-1.258780437	0.208109648	0.994061663
